,ID,name,name:en,landuse,addr:province,addr:city,addr:district,description,type,total,brownfield,commercial,construction,farmland,forest,grass,industrial,residential,retail,NTL,Over illumination,Tresspass,Clutter,geometry,brownfield_mean_distance,brownfield_mean_NTL,commercial_mean_distance,commercial_mean_NTL,construction_mean_distance,construction_mean_NTL,farmland_mean_distance,farmland_mean_NTL,forest_mean_distance,forest_mean_NTL,grass_mean_distance,grass_mean_NTL,industrial_mean_distance,industrial_mean_NTL,residential_mean_distance,residential_mean_NTL,retail_mean_distance,retail_mean_NTL,Over_illumination,centroid
2886,2886,番禺喜盈雅境,,residential,,,,,,149.0,0.0,6.0,5.0,12.0,0.0,7.0,3.0,108.0,7.0,42.61499786376953,5579.6748046875,0.7401529013894004,0.0027751817404373,"POLYGON ((113.3551763 22.9211685, 113.3550608 22.9210466, 113.3549809 22.9208556, 113.3555587 22.918643, 113.3571698 22.9187291, 113.3572725 22.921241, 113.3551763 22.9211685))",,,2406.740662118552,34.059999833333336,2406.707384489441,37.782,1954.064872014945,29.123750333333334,,,1589.2334047635397,44.91000042857143,1344.6795925625765,35.586666666666666,1945.7710361639852,37.87009251851852,2200.5853853392305,41.105000000000004,5579.674998,POINT (113.35622317569425 22.920014939039064)
2887,2887,雅居乐城南源著,,residential,,,,,,95.0,0.0,1.0,1.0,14.0,0.0,7.0,3.0,64.0,3.0,24.63500022888184,3542.56982421875,0.4555964006130181,0.0021527866930823,"POLYGON ((113.358243 22.9105057, 113.358243 22.9102559, 113.3596233 22.9078833, 113.3603812 22.9083771, 113.3603504 22.9084963, 113.3602703 22.908519, 113.3611515 22.9120722, 113.3608865 22.912129, 113.358243 22.9105057))",,,1847.9603773609588,36.445,2418.5321920808137,49.375,1910.4001888163173,27.01964314285715,,,2188.514984281239,42.320000428571426,1091.576990581785,35.586666666666666,1952.1070785170618,38.409374921875,1969.248439798417,44.85166666666667,3542.5700039999997,POINT (113.3597643988782 22.91008551193981)
2888,2888,越秀·可逸江畔,Yuexiu keyi Jiangpan,residential,,,,,,86.0,0.0,1.0,1.0,12.0,0.0,5.0,3.0,60.0,3.0,24.63500022888184,3125.909912109375,0.4102753193885009,0.0020730554440972,"POLYGON ((113.3560935 22.9092657, 113.3568084 22.9081964, 113.3550846 22.9071753, 113.3570833 22.9045082, 113.3573355 22.9044523, 113.3597125 22.9061127, 113.3598573 22.9065988, 113.3576344 22.9099627, 113.3573308 22.910023, 113.3560935 22.9092657))",,,1709.7512221341294,36.445,2876.7663285007793,49.375,1881.6529494297308,29.123750333333334,,,2385.2256687880936,42.9520006,1507.0195656247258,35.586666666666666,2017.1031366848931,36.60741658333333,2355.7189150182253,44.85166666666667,3125.910002,POINT (113.35753267483146 22.907100545185507)
2889,2889,君华香柏广场·华府,Junhua Xiangbai Plaza,residential,,,,,,82.0,0.0,1.0,1.0,10.0,0.0,4.0,4.0,58.0,3.0,34.845001220703125,2944.244873046875,0.4209374907196847,0.0024407398652886,"POLYGON ((113.3518197 22.9107518, 113.3517701 22.9102367, 113.3512463 22.9078112, 113.3529098 22.9078112, 113.3535468 22.9082416, 113.3535893 22.9083915, 113.3520603 22.9107583, 113.3518197 22.9107518))",,,1052.0991570719418,36.445,3020.748942230175,49.375,1502.2506710610471,27.9135001,,,2462.1535555384544,43.427499999999995,2106.3082756595745,31.82125,1703.9613576463657,36.30439641379311,2405.6878768652255,44.85166666666667,2944.244993,POINT (113.3523038535599 22.908918379823263)
2890,2890,祈福水城,,residential,,,,,,78.0,0.0,1.0,0.0,9.0,0.0,3.0,6.0,55.0,2.0,39.38999938964844,2648.39990234375,0.4492945360738973,0.0028615863916219,"POLYGON ((113.3456128 22.9122606, 113.3455528 22.9121224, 113.3462691 22.9104747, 113.3463999 22.9103532, 113.3466295 22.910315, 113.3468668 22.9103896, 113.3493009 22.9121378, 113.3477973 22.9139597, 113.3456128 22.9122606))",,,353.22881149342834,36.445,,,1323.0387438126797,27.405555666666665,,,2224.5798209398677,41.445,2703.832814349763,24.291667166666667,1425.2896745708929,35.55299985454546,2313.182894166611,42.63,2648.399996,POINT (113.3473051289132 22.912084026250003)
2891,2891,源海金沙御苑,,residential,,,,,,85.0,0.0,2.0,2.0,9.0,0.0,3.0,6.0,59.0,2.0,39.38999938964844,2936.199951171875,0.4720358056032285,0.0028359078345744,"POLYGON ((113.347983 22.9140449, 113.3490121 22.9128698, 113.3499878 22.9135663, 113.3489514 22.9147195, 113.347983 22.9140449))",,,1569.3459803987002,34.0625,3126.1123501283028,43.4725,1316.665766622152,27.405555666666665,,,1931.3841020810814,41.445,2614.974626167768,29.430000500000002,1400.7415330803824,35.487457457627116,2031.5142893048135,42.63,2936.1999939999996,POINT (113.34898431366474 22.91379797843512)
2892,2892,沙湾怡景苑,,residential,,,,,,81.0,0.0,1.0,2.0,9.0,0.0,3.0,5.0,58.0,2.0,39.38999938964844,2851.6298828125,0.4521443860882941,0.0026880695296345,"POLYGON ((113.3490487 22.9128211, 113.3494471 22.9123118, 113.3503862 22.9129971, 113.3499797 22.9134577, 113.3490487 22.9128211))",,,629.9094450525303,36.445,3141.952909315711,43.4725,1313.7865083624538,27.405555666666665,,,1955.4608974111536,41.445,2547.4415789454283,32.081000599999996,1410.6637110000786,35.75008606896552,2088.3169141225785,42.63,2851.6299959999997,POINT (113.34971216965897 22.912892527122725)
2893,2893,万科金色诚品,,residential,,,,,,94.0,0.0,3.0,3.0,10.0,0.0,4.0,4.0,66.0,3.0,40.48500061035156,3349.374755859375,0.544271000305754,0.0027213093351372,"POLYGON ((113.3504147 22.9157906, 113.3502927 22.9146298, 113.3503984 22.914465, 113.3512847 22.9141055, 113.3515774 22.9143414, 113.3518904 22.9139894, 113.3531955 22.9149893, 113.3520775 22.9169327, 113.3504147 22.9157906))",,,1952.8868957751838,33.26833333333334,2871.2193974569873,42.016666666666666,1533.7406804572736,27.9135001,,,1867.3125278363086,43.427499999999995,2123.2866924751156,31.82125,1495.2320306648471,35.920454393939394,1891.0768759396267,44.85166666666667,3349.3749909999997,POINT (113.35165961192254 22.915320622482223)
2894,2894,昊龙花园南区,,residential,,,,,,110.0,0.0,3.0,3.0,10.0,0.0,6.0,4.0,80.0,3.0,40.48500061035156,4014.05029296875,0.6110835316921296,0.002754712429536,"POLYGON ((113.3524108 22.9171274, 113.3533633 22.9154991, 113.3538119 22.9154283, 113.3554491 22.9165196, 113.3556289 22.9168823, 113.3551225 22.9186178, 113.3546224 22.9187114, 113.3524108 22.9171274))",,,1940.037836731085,33.26833333333334,2509.135756312586,42.016666666666666,1654.3041094965308,27.9135001,,,1834.2757444128802,44.094167166666665,2019.4209343134858,31.82125,1713.3950592254278,36.8071249,1599.1502541312677,44.85166666666667,4014.0499960000006,POINT (113.35413945383426 22.91704010700364)
2895,2895,保利香逸花园,,residential,,,,,,109.0,0.0,2.0,3.0,11.0,0.0,7.0,3.0,79.0,3.0,29.209999084472656,4076.340087890625,0.5576899177283867,0.0026635567606816,"POLYGON ((113.353976 22.9147384, 113.3543704 22.9141767, 113.355338 22.9145062, 113.3561958 22.9143414, 113.3559092 22.9156424, 113.3557749 22.9157505, 113.3556713 22.9157792, 113.3555299 22.9157787, 113.353976 22.9147384))",,,1856.9595095996783,34.0625,2624.074196945004,42.016666666666666,1685.874738166605,29.10772763636364,,,2070.6335375617364,44.91000042857143,1355.8144383910033,35.586666666666666,1810.8004777613862,37.57227835443038,1702.1457954227092,44.85166666666667,4076.3399970000005,POINT (113.35519808965712 22.91491482996596)
